global_id	node_type	primary_key	name
0	races	0	British Grand Prix
1	races	1	Monaco Grand Prix
2	races	2	Indianapolis 500
3	races	3	Swiss Grand Prix
4	races	4	Belgian Grand Prix
5	races	5	French Grand Prix
6	races	6	Italian Grand Prix
7	races	7	Swiss Grand Prix
8	races	8	Indianapolis 500
9	races	9	Belgian Grand Prix
10	races	10	French Grand Prix
11	races	11	British Grand Prix
12	races	12	German Grand Prix
13	races	13	Italian Grand Prix
14	races	14	Spanish Grand Prix
15	races	15	Swiss Grand Prix
16	races	16	Indianapolis 500
17	races	17	Belgian Grand Prix
18	races	18	French Grand Prix
19	races	19	British Grand Prix
20	races	20	German Grand Prix
21	races	21	Dutch Grand Prix
22	races	22	Italian Grand Prix
23	races	23	Argentine Grand Prix
24	races	24	Indianapolis 500
25	races	25	Dutch Grand Prix
26	races	26	Belgian Grand Prix
27	races	27	French Grand Prix
28	races	28	British Grand Prix
29	races	29	German Grand Prix
30	races	30	Swiss Grand Prix
31	races	31	Italian Grand Prix
32	races	32	Argentine Grand Prix
33	races	33	Indianapolis 500
34	races	34	Belgian Grand Prix
35	races	35	French Grand Prix
36	races	36	British Grand Prix
37	races	37	German Grand Prix
38	races	38	Swiss Grand Prix
39	races	39	Italian Grand Prix
40	races	40	Spanish Grand Prix
41	races	41	Argentine Grand Prix
42	races	42	Monaco Grand Prix
43	races	43	Indianapolis 500
44	races	44	Belgian Grand Prix
45	races	45	Dutch Grand Prix
46	races	46	British Grand Prix
47	races	47	Italian Grand Prix
48	races	48	Argentine Grand Prix
49	races	49	Monaco Grand Prix
50	races	50	Indianapolis 500
51	races	51	Belgian Grand Prix
52	races	52	French Grand Prix
53	races	53	British Grand Prix
54	races	54	German Grand Prix
55	races	55	Italian Grand Prix
56	races	56	Argentine Grand Prix
57	races	57	Monaco Grand Prix
58	races	58	Indianapolis 500
59	races	59	French Grand Prix
60	races	60	British Grand Prix
61	races	61	German Grand Prix
62	races	62	Pescara Grand Prix
63	races	63	Italian Grand Prix
64	races	64	Argentine Grand Prix
65	races	65	Monaco Grand Prix
66	races	66	Dutch Grand Prix
67	races	67	Indianapolis 500
68	races	68	Belgian Grand Prix
69	races	69	French Grand Prix
70	races	70	British Grand Prix
71	races	71	German Grand Prix
72	races	72	Portuguese Grand Prix
73	races	73	Italian Grand Prix
74	races	74	Moroccan Grand Prix
75	races	75	Monaco Grand Prix
76	races	76	Indianapolis 500
77	races	77	Dutch Grand Prix
78	races	78	French Grand Prix
79	races	79	British Grand Prix
80	races	80	German Grand Prix
81	races	81	Portuguese Grand Prix
82	races	82	Italian Grand Prix
83	races	83	United States Grand Prix
84	races	84	Argentine Grand Prix
85	races	85	Monaco Grand Prix
86	races	86	Indianapolis 500
87	races	87	Dutch Grand Prix
88	races	88	Belgian Grand Prix
89	races	89	French Grand Prix
90	races	90	British Grand Prix
91	races	91	Portuguese Grand Prix
92	races	92	Italian Grand Prix
93	races	93	United States Grand Prix
94	races	94	Monaco Grand Prix
95	races	95	Dutch Grand Prix
96	races	96	Belgian Grand Prix
97	races	97	French Grand Prix
98	races	98	British Grand Prix
99	races	99	German Grand Prix
100	races	100	Italian Grand Prix
101	races	101	United States Grand Prix
102	races	102	Dutch Grand Prix
103	races	103	Monaco Grand Prix
104	races	104	Belgian Grand Prix
105	races	105	French Grand Prix
106	races	106	British Grand Prix
107	races	107	German Grand Prix
108	races	108	Italian Grand Prix
109	races	109	United States Grand Prix
110	races	110	South African Grand Prix
111	races	111	Monaco Grand Prix
112	races	112	Belgian Grand Prix
113	races	113	Dutch Grand Prix
114	races	114	French Grand Prix
115	races	115	British Grand Prix
116	races	116	German Grand Prix
117	races	117	Italian Grand Prix
118	races	118	United States Grand Prix
119	races	119	Mexican Grand Prix
120	races	120	South African Grand Prix
121	races	121	Monaco Grand Prix
122	races	122	Dutch Grand Prix
123	races	123	Belgian Grand Prix
124	races	124	French Grand Prix
125	races	125	British Grand Prix
126	races	126	German Grand Prix
127	races	127	Austrian Grand Prix
128	races	128	Italian Grand Prix
129	races	129	United States Grand Prix
130	races	130	Mexican Grand Prix
131	races	131	South African Grand Prix
132	races	132	Monaco Grand Prix
133	races	133	Belgian Grand Prix
134	races	134	French Grand Prix
135	races	135	British Grand Prix
136	races	136	Dutch Grand Prix
137	races	137	German Grand Prix
138	races	138	Italian Grand Prix
139	races	139	United States Grand Prix
140	races	140	Mexican Grand Prix
141	races	141	Monaco Grand Prix
142	races	142	Belgian Grand Prix
143	races	143	French Grand Prix
144	races	144	British Grand Prix
145	races	145	Dutch Grand Prix
146	races	146	German Grand Prix
147	races	147	Italian Grand Prix
148	races	148	United States Grand Prix
149	races	149	Mexican Grand Prix
150	races	150	South African Grand Prix
151	races	151	Monaco Grand Prix
152	races	152	Dutch Grand Prix
153	races	153	Belgian Grand Prix
154	races	154	French Grand Prix
155	races	155	British Grand Prix
156	races	156	German Grand Prix
157	races	157	Canadian Grand Prix
158	races	158	Italian Grand Prix
159	races	159	United States Grand Prix
160	races	160	Mexican Grand Prix
161	races	161	South African Grand Prix
162	races	162	Spanish Grand Prix
163	races	163	Monaco Grand Prix
164	races	164	Belgian Grand Prix
165	races	165	Dutch Grand Prix
166	races	166	French Grand Prix
167	races	167	British Grand Prix
168	races	168	German Grand Prix
169	races	169	Italian Grand Prix
170	races	170	Canadian Grand Prix
171	races	171	United States Grand Prix
172	races	172	Mexican Grand Prix
173	races	173	South African Grand Prix
174	races	174	Spanish Grand Prix
175	races	175	Monaco Grand Prix
176	races	176	Dutch Grand Prix
177	races	177	French Grand Prix
178	races	178	British Grand Prix
179	races	179	German Grand Prix
180	races	180	Italian Grand Prix
181	races	181	Canadian Grand Prix
182	races	182	United States Grand Prix
183	races	183	Mexican Grand Prix
184	races	184	South African Grand Prix
185	races	185	Spanish Grand Prix
186	races	186	Monaco Grand Prix
187	races	187	Belgian Grand Prix
188	races	188	Dutch Grand Prix
189	races	189	French Grand Prix
190	races	190	British Grand Prix
191	races	191	German Grand Prix
192	races	192	Austrian Grand Prix
193	races	193	Italian Grand Prix
194	races	194	Canadian Grand Prix
195	races	195	United States Grand Prix
196	races	196	Mexican Grand Prix
197	races	197	South African Grand Prix
198	races	198	Spanish Grand Prix
199	races	199	Monaco Grand Prix
200	races	200	Dutch Grand Prix
201	races	201	French Grand Prix
202	races	202	British Grand Prix
203	races	203	German Grand Prix
204	races	204	Austrian Grand Prix
205	races	205	Italian Grand Prix
206	races	206	Canadian Grand Prix
207	races	207	United States Grand Prix
208	races	208	Argentine Grand Prix
209	races	209	South African Grand Prix
210	races	210	Spanish Grand Prix
211	races	211	Monaco Grand Prix
212	races	212	Belgian Grand Prix
213	races	213	French Grand Prix
214	races	214	British Grand Prix
215	races	215	German Grand Prix
216	races	216	Austrian Grand Prix
217	races	217	Italian Grand Prix
218	races	218	Canadian Grand Prix
219	races	219	United States Grand Prix
220	races	220	Argentine Grand Prix
221	races	221	Brazilian Grand Prix
222	races	222	South African Grand Prix
223	races	223	Spanish Grand Prix
224	races	224	Belgian Grand Prix
225	races	225	Monaco Grand Prix
226	races	226	Swedish Grand Prix
227	races	227	French Grand Prix
228	races	228	British Grand Prix
